,id,neighbourhood_cleansed,city,state,zipcode,smart_location,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,12147973,Roslindale,Boston,MA,02131,"Boston, MA",House,Entire home/apt,4,1.5,2.0,3.0,Real Bed,,250.0,,,,,,,,,
1,3075044,Roslindale,Boston,MA,02131,"Boston, MA",Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,65.0,400.0,,94.0,10.0,9.0,10.0,10.0,9.0,9.0
2,6976,Roslindale,Boston,MA,02131,"Boston, MA",Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,65.0,395.0,1350.0,98.0,10.0,9.0,10.0,10.0,9.0,10.0
3,1436513,Roslindale,Boston,MA,,"Boston, MA",House,Private room,4,1.0,1.0,2.0,Real Bed,,75.0,,,100.0,10.0,10.0,10.0,10.0,10.0,10.0
4,7651065,Roslindale,Boston,MA,02131,"Boston, MA",House,Private room,2,1.5,1.0,2.0,Real Bed,,79.0,,,99.0,10.0,10.0,10.0,10.0,9.0,10.0
5,12386020,Roslindale,Boston,MA,02131,"Boston, MA",Condominium,Private room,2,1.0,1.0,1.0,Real Bed,,75.0,,,100.0,10.0,10.0,10.0,10.0,9.0,10.0
6,5706985,Roslindale,Boston,MA,02131,"Boston, MA",Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,100.0,,,90.0,10.0,10.0,10.0,10.0,9.0,9.0
7,2843445,Roslindale,Boston,MA,02131,"Boston, MA",House,Private room,2,2.0,1.0,1.0,Real Bed,,75.0,,,96.0,10.0,10.0,10.0,10.0,10.0,10.0
8,753446,Roslindale,Roslindale,MA,02131,"Roslindale, MA",Condominium,Private room,2,1.0,1.0,2.0,Real Bed,12.0,58.0,,,96.0,10.0,10.0,10.0,10.0,9.0,10.0
9,849408,Roslindale,Boston,MA,02131,"Boston, MA",Apartment,Entire home/apt,5,1.0,2.0,2.0,Real Bed,,229.0,,,94.0,10.0,9.0,10.0,10.0,9.0,9.0
10,12023024,Roslindale,Boston,MA,02131,"Boston, MA",House,Private room,2,1.0,1.0,1.0,Real Bed,,60.0,,,80.0,10.0,8.0,8.0,10.0,10.0,10.0
11,1668313,Roslindale,Boston,MA,02131,"Boston, MA",House,Private room,1,1.0,1.0,1.0,Real Bed,,57.0,350.0,1125.0,94.0,9.0,10.0,10.0,10.0,9.0,9.0
12,2684840,Roslindale,Boston,MA,02131,"Boston, MA",Condominium,Entire home/apt,4,1.0,2.0,2.0,Real Bed,,93.0,,,100.0,10.0,10.0,10.0,10.0,10.0,10.0
13,13547301,Roslindale,Boston,MA,02131,"Boston, MA",Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,,150.0,,,97.0,10.0,10.0,10.0,10.0,9.0,10.0
14,5434353,Roslindale,Boston,MA,02131,"Boston, MA",House,Entire home/apt,2,1.5,2.0,2.0,Real Bed,,145.0,950.0,3000.0,91.0,9.0,9.0,10.0,9.0,9.0,9.0
15,225979,Roslindale,Boston,MA,02131,"Boston, MA",Apartment,Private room,1,0.0,1.0,1.0,Real Bed,,60.0,350.0,1100.0,96.0,9.0,10.0,10.0,10.0,9.0,10.0
16,3420384,Roslindale,Boston,MA,02131,"Boston, MA",House,Private room,4,1.0,1.0,3.0,Real Bed,,165.0,750.0,,100.0,10.0,10.0,10.0,10.0,10.0,10.0
17,13512930,Roslindale,Boston,MA,02131,"Boston, MA",Condominium,Private room,2,1.0,1.0,1.0,Real Bed,,75.0,,,100.0,10.0,10.0,10.0,10.0,10.0,10.0
18,7482195,Roslindale,Boston,MA,02131,"Boston, MA",House,Private room,1,1.0,1.0,1.0,Real Bed,,49.0,,,,,,,,,
19,7252607,Roslindale,Boston,MA,02131,"Boston, MA",House,Private room,2,1.0,1.0,1.0,Real Bed,,49.0,280.0,950.0,95.0,9.0,10.0,10.0,10.0,9.0,10.0
20,2583074,Roslindale,Boston,MA,02131,"Boston, MA",Villa,Private room,1,2.5,1.0,1.0,Real Bed,,40.0,250.0,800.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0
21,13251243,Roslindale,Roslindale,MA,02131,"Roslindale, MA",House,Entire home/apt,3,1.0,0.0,2.0,Real Bed,,120.0,,,98.0,10.0,10.0,10.0,10.0,10.0,10.0
22,225834,Roslindale,Boston,MA,02131,"Boston, MA",Apartment,Private room,2,0.0,1.0,1.0,Real Bed,,70.0,420.0,1320.0,98.0,9.0,10.0,10.0,10.0,9.0,9.0
23,6400432,Roslindale,Boston,MA,02131,"Boston, MA",House,Entire home/apt,8,1.0,3.0,5.0,Real Bed,,150.0,700.0,2500.0,88.0,9.0,9.0,9.0,10.0,9.0,10.0
